filter_,wer_mean,wer_std,cer_mean,cer_std,wil_mean,wil_std,wip_mean,wip_std,fluxo,type
bilateral,0.756998213222156,0.5495990905257193,0.5592377610483589,0.44539473318768164,0.7135199523525908,0.4519215345059098,0.2864800476474092,0.4519215345059098,CRAFT -> OpenCV[todos preproc] -> EASYOCR,Identity Card
image_full_gray,0.5068493150684932,0.5332626279047247,0.2965768488567614,0.394952617438205,0.4882370458606313,0.4990038835898488,0.5117629541393687,0.4990038835898489,CRAFT -> OpenCV[todos preproc] -> EASYOCR,Identity Card
limiarização_binária,0.7843954734961287,0.5050113355066654,0.590779898171073,0.4542712820086654,0.7492555092316855,0.43322705249629123,0.25074449076831445,0.4332270524962914,CRAFT -> OpenCV[todos preproc] -> EASYOCR,Identity Card
limiarização_de_otsu,0.8341274568195355,0.4721407241105887,0.6843657992644305,0.44895662248519946,0.8043478260869565,0.3962565151343153,0.1956521739130435,0.3962565151343153,CRAFT -> OpenCV[todos preproc] -> EASYOCR,Identity Card
original,0.48808814770696846,0.5344294870340942,0.2824745990406801,0.3872534464005362,0.46902918403811794,0.4984418615789053,0.5309708159618821,0.4984418615789048,CRAFT -> OpenCV[todos preproc] -> EASYOCR,Identity Card
bilateral,0.8999404407385349,0.3322100607448782,0.8595538684728679,0.33798625645328145,0.8910065515187612,0.31172383843222623,0.10899344848123883,0.31172383843222645,CRAFT -> OpenCV[todos preproc] -> Tesseract,Identity Card
image_full_gray,0.8478260869565217,0.4116665490017124,0.7548796729707987,0.4154860076442328,0.8279233670835815,0.3750795823610825,0.1720766329164185,0.3750795823610824,CRAFT -> OpenCV[todos preproc] -> Tesseract,Identity Card
limiarização_binária ,0.817748659916617,0.47852019729785833,0.675170868440672,0.4597044154397702,0.7828072265237244,0.4103250677213865,0.21719277347627558,0.41032506772138644,CRAFT -> OpenCV[todos preproc] -> Tesseract,Identity Card
limiarização_de_otsu,0.9937462775461584,0.494417184925688,0.8847765595532123,0.3411192584361388,0.907335715703792,0.2891116978359776,0.09266428429620807,0.2891116978359775,CRAFT -> OpenCV[todos preproc] -> Tesseract,Identity Card
original,0.841870160810006,0.4306953989026467,0.7422250851524228,0.42199299523414646,0.8189894778638078,0.38301350162446046,0.18101052213619218,0.38301350162446063,CRAFT -> OpenCV[todos preproc] -> Tesseract,Identity Card
bilateral,0.4362715902322811,0.5516694028209765,0.21818321814011454,0.36538519598550523,0.4050029779630733,0.48951946407903296,0.5949970220369267,0.4895194640790325,CRAFT -> ESRGAN -> OpenCV -> EASYOCR,Identity Card
image_full_gray,0.44103633114949375,0.5532774796409402,0.20593834348922171,0.3430970721549815,0.4097677188802859,0.49072433717471936,0.5902322811197142,0.4907243371747194,CRAFT -> ESRGAN -> OpenCV -> EASYOCR,Identity Card
limiarização_binária,0.7668254913639071,0.6550264895010993,0.5298525648290648,0.4885981572046675,0.6676593210244193,0.469609112129703,0.33234067897558073,0.46960911212970285,CRAFT -> ESRGAN -> OpenCV -> EASYOCR,Identity Card
limiarização_de_otsu,0.7218582489577129,0.5298637029095837,0.5888031286108311,0.49385981388731076,0.684931506849315,0.4624317538948884,0.3150684931506849,0.4624317538948882,CRAFT -> ESRGAN -> OpenCV -> EASYOCR,Identity Card
original,0.4285288862418106,0.5452817810165607,0.20302432862825956,0.3445021066770491,0.401131625967838,0.4892088489802052,0.598868374032162,0.4892088489802053,CRAFT -> ESRGAN -> OpenCV -> EASYOCR,Identity Card
bilateral,0.8786976374826285,0.6744751668732918,0.714268777711939,0.4660591158258167,0.7724510054170566,0.40924794809390835,0.22754899458294336,0.4092479480939084,CRAFT -> ESRGAN -> OpenCV -> Tesseract,Identity Card
image_full_gray,0.8986996227913441,0.7475403072065173,0.7114891280820566,0.504195633973107,0.7615025005435965,0.4147127510779202,0.23849749945640356,0.41471275107792027,CRAFT -> ESRGAN -> OpenCV -> Tesseract,Identity Card
limiarização_binária ,1.1617033948779034,1.7770298920840746,0.7506842995649359,1.0435985900539524,0.7234665853635479,0.4377114153348736,0.27653341463645215,0.4377114153348735,CRAFT -> ESRGAN -> OpenCV -> Tesseract,Identity Card
limiarização_de_otsu,0.8986996227913441,0.7475403072065173,0.7114891280820566,0.504195633973107,0.7615025005435965,0.4147127510779202,0.23849749945640356,0.41471275107792027,CRAFT -> ESRGAN -> OpenCV -> Tesseract,Identity Card
original,0.884157236450268,0.7799325260727417,0.6930078821947059,0.5979311460526225,0.7356887603165149,0.42947863336300596,0.2643112396834851,0.42947863336300607,CRAFT -> ESRGAN -> OpenCV -> Tesseract,Identity Card
bilateral,0.8096666666666666,0.6934937154726223,0.612047501164413,0.4350144010270549,0.7348333333333333,0.44121218812933205,0.26516666666666666,0.44121218812933233,OpenCV[todos preproc] -> EASYOCR,IIIT5K
image_full_gray,0.7533333333333333,0.7206446177628696,0.5360440473469885,0.45045751958537184,0.6763333333333333,0.4675960909342325,0.32366666666666666,0.46759609093423243,OpenCV[todos preproc] -> EASYOCR,IIIT5K
limiarização_binária,0.838,0.6582049411707019,0.6391869124883831,0.4326886022813667,0.7666666666666667,0.42243149939303626,0.23333333333333334,0.42243149939303626,OpenCV[todos preproc] -> EASYOCR,IIIT5K
limiarização_de_otsu,0.7806666666666666,0.6733330141949752,0.5703928787787147,0.4397316736065401,0.7168333333333333,0.4503342157303929,0.2831666666666667,0.4503342157303929,OpenCV[todos preproc] -> EASYOCR,IIIT5K
original,0.755,0.7154105609766463,0.5356943991738109,0.4503158251714276,0.6781666666666667,0.4669896487070734,0.32183333333333336,0.46698964870707316,OpenCV[todos preproc] -> EASYOCR,IIIT5K
bilateral,1.0093333333333334,0.5360429114258042,0.8938209975209975,0.3889048794373159,0.9082222222222222,0.28805358558075933,0.09177777777777778,0.28805358558075933,OpenCV[todos preproc] -> Tesseract,IIIT5K
image_full_gray,1.0096666666666667,0.6156564787732739,0.8788481478760891,0.4343884750623217,0.8905555555555555,0.310791164074055,0.10944444444444444,0.31079116407405516,OpenCV[todos preproc] -> Tesseract,IIIT5K
limiarização_binária ,1.037,0.5925211898771922,0.9160983371748078,0.45539743024667995,0.9201555555555556,0.26993738247702526,0.07984444444444444,0.26993738247702526,OpenCV[todos preproc] -> Tesseract,IIIT5K
limiarização_de_otsu,1.0033333333333334,0.6154525295755507,0.8715987535884595,0.4341609877981233,0.8889333333333334,0.31338517138515554,0.11106666666666666,0.31338517138515554,OpenCV[todos preproc] -> Tesseract,IIIT5K
original,1.0,0.582047758519636,0.8851544480573892,0.47805430476861044,0.8940555555555555,0.3064758623662441,0.10594444444444444,0.30647586236624413,OpenCV[todos preproc] -> Tesseract,IIIT5K
bilateral,0.712,0.6339216188717337,0.5089282751905817,0.44213399658079694,0.6511666666666667,0.4764181954836364,0.34883333333333333,0.47641819548363645,ESRGAN -> OpenCV -> EASYOCR,IIIT5K
image_full_gray,0.7196666666666667,0.6469565207973069,0.5102286833880487,0.4467199531674136,0.6518333333333334,0.4762060789533238,0.3481666666666667,0.4762060789533237,ESRGAN -> OpenCV -> EASYOCR,IIIT5K
limiarização_binária,0.8023333333333333,0.6229424060879589,0.5958179974508921,0.43372223219429895,0.7341666666666666,0.44156649089068634,0.2658333333333333,0.4415664908906864,ESRGAN -> OpenCV -> EASYOCR,IIIT5K
limiarização_de_otsu,0.748,0.64184628654519,0.5333424155365332,0.44002414632628395,0.682,0.46523988369778435,0.318,0.4652398836977844,ESRGAN -> OpenCV -> EASYOCR,IIIT5K
original,0.717,0.6411302644590531,0.5069114962723322,0.44254600932591975,0.6523333333333333,0.47595875290517026,0.3476666666666667,0.4759587529051701,ESRGAN -> OpenCV -> EASYOCR,IIIT5K
bilateral,1.0146666666666666,0.8410434036904315,0.8351238290490612,0.5851919915100722,0.8488030303030303,0.35552401688289204,0.1511969696969697,0.3555240168828919,ESRGAN -> OpenCV -> Tesseract,IIIT5K
image_full_gray,1.036,0.9904700956297354,0.8399182494434816,0.6212757241208705,0.8477666666666668,0.3565019958937263,0.15223333333333333,0.35650199589372633,ESRGAN -> OpenCV -> Tesseract,IIIT5K
limiarização_binária ,1.0556666666666668,0.9004655286452197,0.8807769436445907,0.6330324503871579,0.8705555555555555,0.3333939961842993,0.12944444444444445,0.3333939961842991,ESRGAN -> OpenCV -> Tesseract,IIIT5K
limiarização_de_otsu,1.036,0.9904700956297354,0.8399182494434816,0.6212757241208705,0.8477666666666668,0.3565019958937263,0.15223333333333333,0.35650199589372633,ESRGAN -> OpenCV -> Tesseract,IIIT5K
original,1.049,1.0986361243732743,0.8561814911238286,0.6952647184021462,0.8514888888888889,0.35308073469337514,0.14851111111111112,0.35308073469337514,ESRGAN -> OpenCV -> Tesseract,IIIT5K
bilateral,0.9071778389960208,0.30785322265070425,0.8846992653810836,0.4076085956539392,0.9016171819202122,0.29740011573533415,0.09838281807978778,0.29740011573533415,OpenCV[todos preproc] -> EASYOCR,SVHN
image_full_gray,0.7602540557086012,0.4547207345111455,0.7167597694112846,0.5957640415168615,0.7479466380981532,0.43349052327242543,0.25205336190184674,0.4334905232724255,OpenCV[todos preproc] -> EASYOCR,SVHN
limiarização_binária,0.9176614631160086,0.32678491079372596,0.9027191102948678,0.4380786716241434,0.9028606774818897,0.29531141176701187,0.0971393225181104,0.295311411767012,OpenCV[todos preproc] -> EASYOCR,SVHN
limiarização_de_otsu,0.8809305172941536,0.3763425633988453,0.8644398530762167,0.5051219909977033,0.8634578104275074,0.34234730660340873,0.1365421895724926,0.3423473066034088,OpenCV[todos preproc] -> EASYOCR,SVHN
original,0.7700489745944291,0.450843547404574,0.7269245485154576,0.5861646505431309,0.7571548821548821,0.42811165146684443,0.24284511784511784,0.42811165146684466,OpenCV[todos preproc] -> EASYOCR,SVHN
bilateral,1.0375726966636059,0.3588362231724947,1.074616110600959,0.6766985520239038,0.9885399813430117,0.1036074546343512,0.011460018656988355,0.1036074546343512,OpenCV[todos preproc] -> Tesseract,SVHN
image_full_gray,1.056320783593511,0.47130468019593313,1.1140483113967963,0.8175367748409521,0.9658654243250202,0.1747312758191373,0.03413457567497972,0.17473127581913736,OpenCV[todos preproc] -> Tesseract,SVHN
limiarização_binária ,1.0617539026629936,0.4988058442569247,1.1214697479848994,1.2066554337410642,0.9799686681631127,0.13595026392826215,0.020031331836887392,0.13595026392826215,OpenCV[todos preproc] -> Tesseract,SVHN
limiarização_de_otsu,1.062825221916131,0.472024479197882,1.122699214365881,0.7924560383292114,0.974676600055388,0.15154717074445503,0.025323399944612066,0.15154717074445503,OpenCV[todos preproc] -> Tesseract,SVHN
original,1.0659626568717477,0.5122767841880131,1.1321408529741863,0.9849343229242322,0.968727589750317,0.16698902624198184,0.031272410249682976,0.16698902624198192,OpenCV[todos preproc] -> Tesseract,SVHN
bilateral,0.5638200183654729,0.5503482068177111,0.5069253137434956,0.5982500744269769,0.5373048668503214,0.49860629800267575,0.4626951331496786,0.4986062980026758,ESRGAN -> OpenCV -> EASYOCR,SVHN
image_full_gray,0.5609121518212428,0.5522042299087048,0.5062417100295888,0.6177070301731719,0.5341674318947046,0.498831131002404,0.4658325681052954,0.49883113100240406,ESRGAN -> OpenCV -> EASYOCR,SVHN
limiarização_binária,0.7449494949494949,0.5026079279280142,0.6879310784613815,0.5689945183809642,0.7158708295071932,0.45101590978685097,0.28412917049280684,0.451015909786851,ESRGAN -> OpenCV -> EASYOCR,SVHN
limiarização_de_otsu,0.6792164064891337,0.5497569800595904,0.6635547393123151,0.6906486959041639,0.6415289256198347,0.4795498204674983,0.3584710743801653,0.47954982046749817,ESRGAN -> OpenCV -> EASYOCR,SVHN
original,0.575221916131007,0.5498809750672334,0.5250025507601266,0.6183704195653542,0.5481711049892868,0.4976739565848031,0.4518288950107132,0.49767395658480323,ESRGAN -> OpenCV -> EASYOCR,SVHN
bilateral,0.9812519130700948,0.3863444222509709,0.9799216916641159,0.4349575397077357,0.9315928646736726,0.251037571001512,0.06840713532632725,0.2510375710015121,ESRGAN -> OpenCV -> Tesseract,SVHN
image_full_gray,0.9910468319559229,0.5289472036091367,1.0023530762167125,0.5758933929606723,0.9158886848280788,0.2760177557826485,0.08411131517192123,0.27601775578264837,ESRGAN -> OpenCV -> Tesseract,SVHN
limiarização_binária ,1.0095653504744413,0.39625980872866057,1.0174816345270892,0.4573267574859304,0.9379655137230896,0.22092396354736715,0.062034486276910515,0.22092396354736715,ESRGAN -> OpenCV -> Tesseract,SVHN
limiarização_de_otsu,0.9910468319559229,0.5289472036091367,1.0023530762167125,0.5758933929606723,0.9158886848280788,0.2760177557826485,0.08411131517192123,0.27601775578264837,ESRGAN -> OpenCV -> Tesseract,SVHN
original,1.0002295684113867,0.5253939701343955,1.0317033976124885,0.7565206651230794,0.9142124710306528,0.27753451842603294,0.08578752896934716,0.277534518426033,ESRGAN -> OpenCV -> Tesseract,SVHN
bilateral,0.8449171049817971,0.5242454517753922,0.563081056151588,0.37678176810460645,0.7884760657971299,0.370702941111035,0.21152393420287002,0.37070294111103486,OpenCV[todos preproc] -> EASYOCR,SROEI
image_full_gray,0.756584801176867,0.5480928933873265,0.4792352195610838,0.37762566911839307,0.7174432511627702,0.41024986789915663,0.28255674883722987,0.41024986789915674,OpenCV[todos preproc] -> EASYOCR,SROEI
limiarização_binária,0.834724527652511,0.5125529775608256,0.5691216530688878,0.3755212719794042,0.7878858194940743,0.372746529672227,0.21211418050592576,0.37274652967222704,OpenCV[todos preproc] -> EASYOCR,SROEI
limiarização_de_otsu,0.793156112611844,0.5892385138774946,0.4654256034109069,0.3703697086760909,0.7257471512158006,0.4079479877712368,0.2742528487841994,0.40794798777123686,OpenCV[todos preproc] -> EASYOCR,SROEI
original,0.7568889759905051,0.5473993903931722,0.4796329938522965,0.37736279231827446,0.717869555987523,0.40997801314355675,0.282130444012477,0.4099780131435566,OpenCV[todos preproc] -> EASYOCR,SROEI
bilateral,0.9164868720351506,0.39372107670923684,0.7741652177827322,0.3532315940103708,0.8961819949010558,0.2678671377853123,0.1038180050989442,0.26786713778531235,OpenCV[todos preproc] -> Tesseract,SROEI
image_full_gray,0.9001061819857265,0.3857811114991574,0.7744971736904079,0.3555271905981005,0.8897295073256355,0.27726491071080145,0.11027049267436448,0.27726491071080145,OpenCV[todos preproc] -> Tesseract,SROEI
limiarização_binária ,0.9523247857253953,0.40665252952361136,0.7954404623861063,0.34834918102643386,0.9144351677605647,0.24266277922610105,0.08556483223943526,0.2426627792261011,OpenCV[todos preproc] -> Tesseract,SROEI
limiarização_de_otsu,0.9991232838364468,0.4838062994707452,0.8582280220840216,0.3451207619978512,0.9259187076224099,0.22865367179718799,0.07408129237759012,0.22865367179718807,OpenCV[todos preproc] -> Tesseract,SROEI
original,0.9007228483129359,0.38604429646179866,0.7743557061676062,0.35648798018076133,0.8901123285332326,0.27666145039802553,0.10988767146676746,0.27666145039802553,OpenCV[todos preproc] -> Tesseract,SROEI
bilateral,0.7779971957220139,0.5183796410133829,0.5374360312418673,0.37812079433403956,0.7330670767736114,0.39927836154556023,0.26693292322638856,0.39927836154556023,ESRGAN -> OpenCV -> EASYOCR,SROEI
image_full_gray,0.7770111788102593,0.520599621437333,0.5388408980848096,0.3761526672376489,0.731929643270167,0.40017919261860446,0.2680703567298331,0.40017919261860424,ESRGAN -> OpenCV -> EASYOCR,SROEI
limiarização_binária,0.7873990764842989,0.5188804326397476,0.543341216769954,0.38034351983789594,0.7408843376431637,0.3957406012888892,0.25911566235683625,0.39574060128888916,ESRGAN -> OpenCV -> EASYOCR,SROEI
limiarização_de_otsu,0.7895466520814041,0.5297971771475392,0.5450219208543725,0.37920595550331243,0.738392495466716,0.39727908283073105,0.261607504533284,0.3972790828307311,ESRGAN -> OpenCV -> EASYOCR,SROEI
original,0.7777334587401953,0.5204757973243006,0.5372545538217018,0.3767878092656245,0.7326870930814288,0.3997991785813563,0.26731290691857124,0.3997991785813564,ESRGAN -> OpenCV -> EASYOCR,SROEI
bilateral,0.8575898946006945,0.6993299330878471,0.5614836161049745,0.5082083905155013,0.7561977441999069,0.3892433338364269,0.243802255800093,0.38924333383642695,ESRGAN -> OpenCV -> Tesseract,SROEI
image_full_gray,0.8604641630705574,0.7193057032930379,0.5641217877587528,0.515734017925837,0.7581609601081349,0.3878580552515073,0.24183903989186506,0.3878580552515072,ESRGAN -> OpenCV -> Tesseract,SROEI
limiarização_binária ,0.8660129931315239,0.7257829053164081,0.5689204794357163,0.537505835044679,0.759678129090928,0.3870153149233389,0.24032187090907206,0.38701531492333896,ESRGAN -> OpenCV -> Tesseract,SROEI
limiarização_de_otsu,0.8604641630705574,0.7193057032930379,0.5641217877587528,0.515734017925837,0.7581609601081349,0.3878580552515073,0.24183903989186506,0.3878580552515072,ESRGAN -> OpenCV -> Tesseract,SROEI
original,0.8549649998324079,0.6825148668563579,0.5604074939126948,0.506115013541941,0.756100396606309,0.3892839732921016,0.243899603393691,0.38928397329210196,ESRGAN -> OpenCV -> Tesseract,SROEI
